LOCATION,MNF_YEAR,BRAND,MODEL,VARIANT,DRIVEN_KM,FUELTYPE,NOOF_OWNERS,PRICE
Pune,2012,Honda,City V MT PETROL,Manual,"82,525 km",Petrol,2nd Owner,"₹3,55,099"
Pune,2019,Hyundai,Verna 1.6 SX VTVT,Manual,"6,613 km",Petrol,1st Owner,"₹9,36,399"
Pune,2018,Hyundai,Verna 1.6 SX VTVT,Manual,"29,707 km",Petrol,1st Owner,"₹7,79,599"
Pune,2019,Hyundai,Verna 1.6 SX VTVT,Manual,"8,890 km",Petrol,1st Owner,"₹8,84,299"
Pune,2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"83,729 km",Petrol,1st Owner,"₹3,17,799"
Pune,2008,Hyundai,Verna VGT CRDI SX,Manual,"2,57,126 km",Diesel,2nd Owner,"₹1,40,199"
Pune,2019,Hyundai,Verna 1.4 CRDi EX MT,Manual,"30,453 km",Diesel,1st Owner,"₹7,82,699"
Pune,2018,Hyundai,Verna 1.6 SX (O) CRDI MT,Manual,"48,639 km",Diesel,1st Owner,"₹10,40,999"
Pune,2015,Volkswagen,Vento HIGHLINE TDI AT,Automatic,"78,700 km",Diesel,1st Owner,"₹5,43,299"
Pune,2011,Honda,City S MT PETROL,Manual,"1,01,973 km",Petrol,2nd Owner,"₹3,06,899"
Pune,2011,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,10,490 km",Petrol,1st Owner,"₹2,95,199"
Pune,2013,Honda,Amaze 1.5 SMT I DTEC,Manual,"1,16,584 km",Diesel,1st Owner,"₹2,90,199"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"1,69,893 km",Petrol,1st Owner,"₹3,48,399"
Pune,2016,Volkswagen,Vento HIGHLINE TDI AT,Automatic,"1,23,078 km",Diesel,1st Owner,"₹6,00,499"
Pune,2010,Honda,Accord 2.4 AT I VTEC,Automatic,"1,67,279 km",Petrol,3rd Owner,"₹3,22,199"
Pune,2013,Volkswagen,Vento COMFORTLINE DIESEL,Manual,"1,20,100 km",Diesel,1st Owner,"₹3,61,499"
Pune,2010,Toyota,Prius 1.8 Z3,Automatic,"1,04,636 km",Petrol,2nd Owner,"₹3,76,899"
Pune,2015,Maruti,Ciaz ZXI PLUS,Manual,"45,689 km",Petrol,1st Owner,"₹5,79,399"
Pune,2013,Toyota,Etios GD,Manual,"74,221 km",Diesel,1st Owner,"₹3,38,299"
Pune,2012,Honda,City V MT PETROL,Manual,"1,41,020 km",Petrol,2nd Owner,"₹3,75,199"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"1,30,768 km",Petrol,1st Owner,"₹3,92,299"
Pune,2016,Tata,Zest XT RT,Manual,"11,414 km",Petrol,2nd Owner,"₹4,05,199"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"15,052 km",Petrol,2nd Owner,"₹4,99,399"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"53,074 km",Diesel,1st Owner,"₹4,28,999"
Pune,2015,Ford,Figo Aspire 1.2 TREND PETROL,Manual,"34,656 km",Petrol,2nd Owner,"₹3,80,799"
Pune,2013,Honda,Amaze 1.2 SMT I VTEC,Manual,"47,239 km",Petrol,2nd Owner,"₹3,65,599"
Pune,2010,Honda,Civic 1.8V AT,Automatic,"58,455 km",Petrol,2nd Owner,"₹2,67,699"
Pune,2015,Hyundai,Verna FLUIDIC 1.6 VTVT S (O)  MT,Manual,"25,274 km",Petrol,1st Owner,"₹5,05,299"
Pune,2012,Honda,City V MT PETROL,Manual,"66,745 km",Petrol,1st Owner,"₹3,85,099"
Pune,2019,Maruti,Dzire VXI,Manual,"12,836 km",Petrol,1st Owner,"₹6,93,099"
Pune,2015,Ford,Figo Aspire 1.5 TREND DIESEL,Manual,"59,038 km",Diesel,1st Owner,"₹4,33,799"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"70,649 km",Petrol,1st Owner,"₹3,94,499"
Pune,2018,Maruti,Dzire VDI,Manual,"28,626 km",Diesel,1st Owner,"₹7,22,199"
Pune,2016,Volkswagen,Ameo COMFORTLINE 1.2,Manual,"52,907 km",Petrol,1st Owner,"₹3,63,199"
Pune,2016,Hyundai,Xcent SX 1.2,Manual,"55,097 km",Petrol,1st Owner,"₹5,00,699"
Pune,2019,Honda,Civic ZX CVT PETROL,Automatic,"10,721 km",Petrol,1st Owner,"₹19,47,099"
Pune,2012,Honda,City 1.5 E MT PETROL,Manual,"79,836 km",Petrol,2nd Owner,"₹3,98,499"
Pune,2016,Volkswagen,Ameo HIGHLINE 1.2,Manual,"52,783 km",Petrol,1st Owner,"₹4,80,699"
Pune,2018,Maruti,Ciaz ALPHA 1.4 VVT AMT,Automatic,"15,112 km",Petrol,1st Owner,"₹8,60,299"
Pune,2018,Maruti,Dzire VDI AMT,Automatic,"35,413 km",Diesel,1st Owner,"₹7,63,699"
Pune,2012,Honda,City S MT PETROL,Manual,"83,929 km",Petrol,1st Owner,"₹3,44,299"
Pune,2017,Maruti,Dzire ZDI Plus AMT,Automatic,"38,118 km",Diesel,2nd Owner,"₹7,28,399"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"24,122 km",Petrol,2nd Owner,"₹10,59,399"
Pune,2014,Maruti,Swift Dzire VDI BS IV,Manual,"87,333 km",Diesel,1st Owner,"₹4,98,499"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,33,833 km",Diesel,1st Owner,"₹4,21,999"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"92,029 km",Diesel,2nd Owner,"₹3,86,999"
Pune,2017,Maruti,Dzire VDI,Manual,"60,178 km",Diesel,1st Owner,"₹6,64,399"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"84,797 km",Diesel,1st Owner,"₹4,96,699"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"93,530 km",Diesel,1st Owner,"₹4,58,899"
Pune,2015,Hyundai,Xcent SX 1.2 OPT,Manual,"1,17,035 km",Petrol,1st Owner,"₹3,96,199"
Pune,2015,Maruti,Swift Dzire VDI ABS,Manual,"1,11,167 km",Diesel,2nd Owner,"₹5,21,799"
Pune,2015,Skoda,Rapid 1.5 TDI MT ELEGANCE,Manual,"1,09,203 km",Diesel,2nd Owner,"₹4,40,299"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,33,678 km",Diesel,1st Owner,"₹4,23,099"
Pune,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"1,13,188 km",Diesel,1st Owner,"₹3,41,799"
Pune,2014,Honda,Amaze 1.5 EMT I DTEC,Manual,"85,460 km",Diesel,1st Owner,"₹4,33,499"
Pune,2015,Hyundai,Xcent SX 1.2,Manual,"1,13,465 km",Petrol,1st Owner,"₹3,98,999"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 SX CRDI,Manual,"1,84,523 km",Diesel,1st Owner,"₹3,78,999"
Pune,2018,Tata,TIGOR Revotron XT,Manual,"16,715 km",Petrol,1st Owner,"₹5,77,299"
Pune,2015,Honda,City V MT DIESEL,Manual,"1,85,610 km",Diesel,1st Owner,"₹5,06,799"
Pune,2016,Maruti,Ciaz ZDI SHVS HYBIRD,Manual,"1,43,429 km",Diesel,2nd Owner,"₹6,07,399"
Pune,2014,Maruti,Ciaz ZDI,Manual,"1,62,517 km",Diesel,1st Owner,"₹4,66,299"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"72,553 km",Diesel,1st Owner,"₹4,86,799"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"28,849 km",Petrol,1st Owner,"₹11,22,999"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"26,583 km",Petrol,1st Owner,"₹5,07,299"
Pune,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"8,416 km",Petrol,2nd Owner,"₹3,89,299"
Pune,2011,Toyota,Etios V,Manual,"37,595 km",Petrol,1st Owner,"₹3,15,699"
Pune,2011,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Automatic,"62,017 km",Petrol + CNG,2nd Owner,"₹4,01,299"
Pune,2014,Hyundai,Xcent SX 1.2 OPT,Manual,"7,999 km",Petrol,1st Owner,"₹4,75,499"
Pune,2014,Maruti,Swift Dzire ZXI 1.2 BS IV,Manual,"33,644 km",Petrol,1st Owner,"₹4,85,899"
Pune,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"27,398 km",Petrol,1st Owner,"₹5,08,599"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"19,856 km",Petrol,1st Owner,"₹4,29,899"
Pune,2011,Honda,City S MT PETROL,Manual,"73,611 km",Petrol,2nd Owner,"₹2,84,499"
Pune,2011,Volkswagen,Vento HIGHLINE DIESEL,Manual,"72,199 km",Diesel,1st Owner,"₹2,73,899"
Pune,2013,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Automatic,"71,880 km",Petrol,2nd Owner,"₹3,85,399"
Pune,2016,Honda,City VX MT PETROL,Manual,"28,174 km",Petrol,2nd Owner,"₹5,74,899"
Pune,2017,Maruti,Dzire ZXI Plus AMT,Automatic,"37,792 km",Petrol,1st Owner,"₹6,60,399"
Pune,2013,Volkswagen,Vento HIGHLINE PETROL AT,Automatic,"68,260 km",Petrol,1st Owner,"₹3,30,399"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"56,002 km",Petrol,1st Owner,"₹4,24,899"
Pune,2011,Nissan,Sunny XV PETROL,Manual,"77,019 km",Petrol,2nd Owner,"₹2,78,199"
Pune,2010,Maruti,Swift Dzire VDI BS IV,Manual,"80,822 km",Diesel,2nd Owner,"₹2,97,599"
Pune,2017,Maruti,Dzire ZDI,Manual,"16,137 km",Diesel,1st Owner,"₹7,31,999"
Pune,2016,Maruti,Ciaz VXI PLUS,Manual,"58,113 km",Petrol,1st Owner,"₹5,61,399"
Pune,2011,Maruti,SX4 ZXI MT BS IV,Manual,"77,761 km",Petrol,2nd Owner,"₹2,31,599"
Pune,2015,Honda,City SV MT PETROL,Manual,"64,093 km",Petrol,2nd Owner,"₹5,00,299"
Pune,2012,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"44,618 km",Petrol,2nd Owner,"₹4,09,699"
Pune,2020,Hyundai,AURA SX O MT 1.2 Diesel,Manual,"2,963 km",Diesel,1st Owner,"₹8,58,799"
Pune,2011,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT,Manual,"43,223 km",Petrol,1st Owner,"₹4,17,499"
Pune,2016,Hyundai,Xcent SX 1.2,Manual,"26,010 km",Petrol,2nd Owner,"₹4,83,999"
Pune,2013,Maruti,Swift Dzire LDI BS IV,Manual,"53,065 km",Diesel,1st Owner,"₹3,82,199"
Pune,2011,Toyota,Etios V,Manual,"66,443 km",Petrol,1st Owner,"₹2,29,899"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"35,265 km",Petrol,1st Owner,"₹4,23,499"
Pune,2016,Honda,City VX CVT PETROL,Automatic,"26,424 km",Petrol,1st Owner,"₹7,41,199"
Pune,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"54,831 km",Diesel,1st Owner,"₹3,78,399"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"92,022 km",Diesel,1st Owner,"₹4,44,299"
Pune,2012,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Automatic,"59,713 km",Petrol,2nd Owner,"₹4,27,399"
Pune,2013,Volkswagen,Vento HIGHLINE DIESEL,Manual,"71,136 km",Diesel,1st Owner,"₹4,08,699"
Pune,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"11,399 km",Petrol,1st Owner,"₹7,02,299"
Pune,2012,Honda,City S MT PETROL,Manual,"79,967 km",Petrol,1st Owner,"₹3,97,099"
Pune,2018,Toyota,YARIS VX CVT,Manual,"8,792 km",Petrol,1st Owner,"₹10,25,899"
Pune,2018,Maruti,Dzire VDI AMT,Automatic,"37,973 km",Diesel,1st Owner,"₹7,67,899"
Pune,2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"87,473 km",Petrol,1st Owner,"₹2,50,899"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"81,886 km",Diesel,1st Owner,"₹4,33,599"
Pune,2011,Honda,City V MT PETROL,Manual,"64,215 km",Petrol + CNG,1st Owner,"₹3,22,999"
Pune,2017,Volkswagen,Ameo HIGHLINE 1.5,Manual,"46,354 km",Diesel,1st Owner,"₹6,10,799"
Pune,2011,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT,Manual,"43,223 km",Petrol,1st Owner,"₹4,17,499"
Pune,2016,Hyundai,Xcent SX 1.2,Manual,"26,010 km",Petrol,2nd Owner,"₹4,83,999"
Pune,2013,Maruti,Swift Dzire LDI BS IV,Manual,"53,065 km",Diesel,1st Owner,"₹3,82,199"
Pune,2011,Toyota,Etios V,Manual,"66,443 km",Petrol,1st Owner,"₹2,29,899"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"35,265 km",Petrol,1st Owner,"₹4,23,499"
Pune,2016,Honda,City VX CVT PETROL,Automatic,"26,424 km",Petrol,1st Owner,"₹7,41,199"
Pune,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"54,831 km",Diesel,1st Owner,"₹3,78,399"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"92,022 km",Diesel,1st Owner,"₹4,44,299"
Pune,2012,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Automatic,"59,713 km",Petrol,2nd Owner,"₹4,27,399"
Pune,2013,Volkswagen,Vento HIGHLINE DIESEL,Manual,"71,136 km",Diesel,1st Owner,"₹4,08,699"
Pune,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"11,399 km",Petrol,1st Owner,"₹7,02,299"
Pune,2012,Honda,City S MT PETROL,Manual,"79,967 km",Petrol,1st Owner,"₹3,97,099"
Pune,2018,Toyota,YARIS VX CVT,Manual,"8,792 km",Petrol,1st Owner,"₹10,25,899"
Pune,2018,Maruti,Dzire VDI AMT,Automatic,"37,973 km",Diesel,1st Owner,"₹7,67,899"
Pune,2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"87,473 km",Petrol,1st Owner,"₹2,50,899"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"81,886 km",Diesel,1st Owner,"₹4,33,599"
Pune,2011,Honda,City V MT PETROL,Manual,"64,215 km",Petrol + CNG,1st Owner,"₹3,22,999"
Pune,2017,Volkswagen,Ameo HIGHLINE 1.5,Manual,"46,354 km",Diesel,1st Owner,"₹6,10,799"
Pune,2019,Honda,Civic ZX CVT PETROL,Automatic,"29,075 km",Petrol,1st Owner,"₹16,89,599"
Pune,2018,Maruti,Ciaz ALPHA 1.3 DDIS SHVS,Manual,"28,557 km",Diesel,1st Owner,"₹9,14,099"
Pune,2016,Volkswagen,Vento HIGHLINE 1.2 TSI AT,,"68,067 km",Petrol,1st Owner,"₹6,47,499"
Pune,2018,Honda,City ZX CVT,Automatic,"32,992 km",Petrol,1st Owner,"₹10,33,299"
Pune,2017,Maruti,Dzire ZDI Plus AMT,Automatic,"61,713 km",Diesel,1st Owner,"₹7,46,199"
Pune,2018,Maruti,Ciaz ZETA 1.4 VVT AMT,Automatic,"30,699 km",Petrol,1st Owner,"₹8,08,499"
Pune,2012,Honda,City V MT PETROL,Manual,"90,571 km",Petrol,2nd Owner,"₹4,17,499"
Pune,2016,Maruti,Swift Dzire VDI OPT,Manual,"81,739 km",Diesel,1st Owner,"₹6,32,199"
Pune,2012,Honda,City V MT PETROL,Manual,"1,09,760 km",Petrol,1st Owner,"₹3,59,299"
Pune,2012,Hyundai,Verna FLUIDIC 1.6 EX VTVT,Manual,"1,02,433 km",Petrol,1st Owner,"₹3,98,699"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,03,880 km",Diesel,1st Owner,"₹4,05,799"
Pune,2017,Maruti,Dzire ZXI AMT,Automatic,"1,16,512 km",Petrol,1st Owner,"₹5,96,599"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"95,653 km",Petrol,1st Owner,"₹4,48,199"
Pune,2017,Maruti,Dzire VDI,Manual,"1,06,932 km",Diesel,1st Owner,"₹6,93,299"
Pune,2017,Maruti,Dzire ZXI AMT,Automatic,"92,528 km",Petrol,1st Owner,"₹6,97,199"
Pune,2015,Volkswagen,Jetta HIGHLINE TDI AT,Automatic,"99,815 km",Diesel,1st Owner,"₹9,81,699"
Pune,2015,Hyundai,Verna FLUIDIC 1.6 VTVT S (O)  MT,Manual,"26,547 km",Petrol,2nd Owner,"₹5,85,299"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"67,170 km",Petrol,2nd Owner,"₹3,47,499"
Pune,2017,Maruti,Dzire ZXI,Manual,"37,024 km",Petrol,1st Owner,"₹5,95,899"
Pune,2018,Honda,Amaze 1.2 SAT I VTEC,Automatic,"47,295 km",Petrol,1st Owner,"₹6,21,199"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"46,970 km",Petrol,1st Owner,"₹11,00,499"
Pune,2017,Maruti,Ciaz ZETA 1.3 DDIS SHVS,Manual,"67,816 km",Diesel,1st Owner,"₹7,06,299"
Pune,2016,Maruti,Ciaz VDI (O) SHVS HYBIRD,,"1,33,455 km",Diesel,1st Owner,"₹4,63,099"
Pune,2011,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Automatic,"41,717 km",Petrol,1st Owner,"₹4,03,399"
Pune,2014,Hyundai,Xcent S 1.2 OPT,Manual,"35,311 km",Petrol,1st Owner,"₹3,92,599"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"34,941 km",Petrol + CNG,1st Owner,"₹5,72,499"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"35,527 km",Petrol,1st Owner,"₹4,41,799"
Pune,2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"39,069 km",Petrol,1st Owner,"₹3,13,299"
Pune,2014,Hyundai,Verna FLUIDIC 1.6 SX VTVT,Manual,"43,443 km",Petrol,1st Owner,"₹5,59,199"
Pune,2014,Honda,Amaze 1.2 EXMT I VTEC,Manual,"54,155 km",Petrol,1st Owner,"₹3,80,999"
Pune,2015,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"29,577 km",Petrol,1st Owner,"₹4,89,299"
Pune,2015,Honda,City VX MT PETROL,Manual,"5,144 km",Petrol,1st Owner,"₹7,14,199"
Pune,2009,Honda,Civic 1.8V MT,Manual,"61,552 km",Petrol,1st Owner,"₹2,32,499"
Pune,2016,Honda,City VX CVT PETROL,Automatic,"43,479 km",Petrol,1st Owner,"₹7,51,199"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"70,192 km",Diesel,2nd Owner,"₹4,00,399"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"1,02,985 km",Diesel,2nd Owner,"₹3,75,499"
Pune,2015,Honda,Amaze 1.2 SMT I VTEC,Manual,"72,343 km",Petrol,1st Owner,"₹3,52,199"
Pune,2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"73,187 km",Petrol,1st Owner,"₹2,25,500"
Pune,2010,Maruti,Swift Dzire VDI BS IV,Manual,"84,008 km",Diesel,2nd Owner,"₹2,81,699"
Pune,2014,Maruti,Swift Dzire ZXI 1.2 BS IV,Manual,"74,646 km",Petrol,1st Owner,"₹4,34,599"
Pune,2013,Volkswagen,Vento COMFORTLINE MT PETROL,Manual,"71,919 km",Petrol,1st Owner,"₹3,07,599"
Pune,2018,Hyundai,Verna 1.6 SX VTVT AT (O),Automatic,"21,347 km",Petrol,1st Owner,"₹11,31,099"
Pune,2020,Hyundai,AURA SX O MT 1.2 Diesel,Manual,"2,963 km",Diesel,1st Owner,"₹8,58,799"
Pune,2011,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT,Manual,"43,223 km",Petrol,1st Owner,"₹4,17,499"
Pune,2016,Hyundai,Xcent SX 1.2,Manual,"26,010 km",Petrol,2nd Owner,"₹4,83,999"
Pune,2013,Maruti,Swift Dzire LDI BS IV,Manual,"53,065 km",Diesel,1st Owner,"₹3,82,199"
Pune,2011,Toyota,Etios V,Manual,"66,443 km",Petrol,1st Owner,"₹2,29,899"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"35,265 km",Petrol,1st Owner,"₹4,23,499"
Pune,2016,Honda,City VX CVT PETROL,Automatic,"26,424 km",Petrol,1st Owner,"₹7,41,199"
Pune,2014,Honda,Amaze 1.5 SX MT I DTEC,Manual,"54,831 km",Diesel,1st Owner,"₹3,78,399"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"92,022 km",Diesel,1st Owner,"₹4,44,299"
Pune,2012,Hyundai,Verna FLUIDIC 1.6 SX VTVT OPT AT,Automatic,"59,713 km",Petrol,2nd Owner,"₹4,27,399"
Pune,2013,Volkswagen,Vento HIGHLINE DIESEL,Manual,"71,136 km",Diesel,1st Owner,"₹4,08,699"
Pune,2018,Honda,Amaze 1.2 V CVT I VTEC,Manual,"11,399 km",Petrol,1st Owner,"₹7,02,299"
Pune,2012,Honda,City S MT PETROL,Manual,"79,967 km",Petrol,1st Owner,"₹3,97,099"
Pune,2018,Toyota,YARIS VX CVT,Manual,"8,792 km",Petrol,1st Owner,"₹10,25,899"
Pune,2018,Maruti,Dzire VDI AMT,Automatic,"37,973 km",Diesel,1st Owner,"₹7,67,899"
Pune,2011,Volkswagen,Vento TRENDLINE PETROL,Manual,"87,473 km",Petrol,1st Owner,"₹2,50,899"
Pune,2012,Maruti,Swift Dzire VDI BS IV,Manual,"81,886 km",Diesel,1st Owner,"₹4,33,599"
Pune,2011,Honda,City V MT PETROL,Manual,"64,215 km",Petrol + CNG,1st Owner,"₹3,22,999"
Pune,2017,Volkswagen,Ameo HIGHLINE 1.5,Manual,"46,354 km",Diesel,1st Owner,"₹6,10,799"
Pune,2019,Honda,Civic ZX CVT PETROL,Automatic,"29,075 km",Petrol,1st Owner,"₹16,89,599"
Pune,2018,Maruti,Dzire VXI,Manual,"6,558 km",Petrol,1st Owner,"₹7,10,299"
Pune,2018,Maruti,Dzire VXI,Manual,"21,655 km",Petrol,1st Owner,"₹6,24,599"
Pune,2014,Honda,Amaze 1.2 EXMT I VTEC,Manual,"75,156 km",Petrol,1st Owner,"₹3,62,199"
Pune,2017,Maruti,Dzire ZDI Plus,Manual,"48,556 km",Diesel,1st Owner,"₹6,46,199"
Pune,2018,Maruti,Dzire VDI,Manual,"20,805 km",Diesel,1st Owner,"₹7,57,899"
Pune,2011,Toyota,Etios V,Manual,"90,883 km",Petrol,1st Owner,"₹2,43,599"
Pune,2017,Maruti,Dzire VDI,Manual,"15,738 km",Diesel,1st Owner,"₹7,12,599"
Pune,2017,Hyundai,Verna 1.6 SX (O) CRDI MT,Manual,"76,296 km",Diesel,1st Owner,"₹10,61,899"
Pune,2015,Volkswagen,Vento HIGHLINE 1.2 TSI AT,Manual,"87,177 km",Petrol,2nd Owner,"₹4,85,199"
Pune,2017,Hyundai,Xcent E PLUS,Manual,"45,726 km",Petrol,1st Owner,"₹5,30,099"
Pune,2014,Honda,Amaze 1.5 SMT I DTEC,Manual,"80,958 km",Diesel,1st Owner,"₹4,47,499"
Pune,2014,Skoda,Rapid 1.6 TDI MT AMBITION PLUS,Manual,"93,514 km",Diesel,2nd Owner,"₹3,90,699"
Pune,2015,Honda,City V MT PETROL,Manual,"1,22,135 km",Petrol,1st Owner,"₹5,22,999"
Pune,2014,Honda,Amaze 1.2 SMT I VTEC,Manual,"1,16,242 km",Petrol,1st Owner,"₹3,66,799"
Pune,2014,Maruti,Swift Dzire VDI BS IV,Manual,"1,07,789 km",Diesel,1st Owner,"₹4,87,699"
Pune,2013,Honda,Amaze 1.2 SMT I VTEC,Manual,"1,23,763 km",Petrol,1st Owner,"₹4,03,499"
Pune,2016,Volkswagen,Vento HIGHLINE 1.2 TSI AT,,"1,17,793 km",Petrol,1st Owner,"₹5,80,499"
Pune,2013,Maruti,Swift Dzire VDI,Manual,"1,61,540 km",Diesel,1st Owner,"₹4,13,699"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"1,99,106 km",Diesel,2nd Owner,"₹3,88,299"
Pune,2014,Hyundai,Xcent S 1.2 OPT,Manual,"41,774 km",Petrol,1st Owner,"₹4,22,999"
Pune,2010,Honda,City V MT PETROL,Manual,"77,533 km",Petrol,2nd Owner,"₹3,00,599"
Pune,2013,Volkswagen,Vento HIGHLINE DIESEL,Manual,"1,03,461 km",Diesel,1st Owner,"₹3,61,399"
Pune,2011,Volkswagen,Vento HIGHLINE PETROL,Manual,"21,091 km",Petrol,1st Owner,"₹3,38,099"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"41,941 km",Petrol,1st Owner,"₹3,97,399"
Pune,2014,Hyundai,Xcent S 1.2 OPT,Manual,"27,075 km",Petrol,1st Owner,"₹3,99,099"
Pune,2012,Volkswagen,Vento HIGHLINE PETROL,Manual,"56,526 km",Petrol,2nd Owner,"₹3,44,599"
Pune,2014,Volkswagen,Vento HIGHLINE 1.2 TSI AT,Manual,"49,465 km",Petrol,2nd Owner,"₹3,60,699"
Pune,2013,Maruti,Swift Dzire VDI BS IV,Manual,"43,595 km",Diesel,1st Owner,"₹4,60,999"
Pune,2011,Toyota,Etios V,Manual,"66,145 km",Petrol,1st Owner,"₹2,79,399"
Pune,2010,Volkswagen,Vento TRENDLINE PETROL,Manual,"42,013 km",Petrol,1st Owner,"₹2,38,099"
Pune,2013,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"53,692 km",Petrol,1st Owner,"₹3,69,299"
Pune,2018,Honda,Amaze 1.2 VXMT I VTEC,Manual,"11,175 km",Petrol,1st Owner,"₹6,44,399"
Pune,2015,Volkswagen,Vento HIGHLINE 1.2 TSI AT,,"23,591 km",Petrol,1st Owner,"₹5,16,999"
Pune,2015,Skoda,Rapid 1.5 TDI AT ELEGANCE PLUS,Automatic,"41,193 km",Diesel,1st Owner,"₹5,16,899"
Pune,2015,Volkswagen,Vento HIGHLINE TDI AT,Automatic,"38,459 km",Diesel,1st Owner,"₹5,95,299"
Pune,2014,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"63,538 km",Petrol,1st Owner,"₹4,28,099"
Pune,2016,Maruti,Swift Dzire VXI 1.2 BS IV,Manual,"46,039 km",Petrol,1st Owner,"₹5,12,299"
Pune,2018,Maruti,Dzire VXI,Manual,"8,604 km",Petrol,1st Owner,"₹6,34,599"
Pune,2011,Volkswagen,Vento HIGHLINE PETROL AT,Automatic,"82,508 km",Petrol,3rd Owner,"₹2,68,699"
Pune,2019,Maruti,Dzire VXI,Manual,"9,726 km",Petrol,1st Owner,"₹6,41,799"
Pune,2012,Maruti,Alto K10 VXI,Manual,"23,896 km",Petrol,1st Owner,"₹1,70,199"
Pune,2012,Maruti,Swift VDI,Manual,"30,736 km",Diesel,1st Owner,"₹4,05,899"
Pune,2015,Maruti,Swift VXI,Manual,"21,485 km",Petrol,1st Owner,"₹4,57,899"
Pune,2017,Renault,Kwid RXT 1.0 EASY-R  AT,Manual,"33,203 km",Petrol,3rd Owner,"₹3,03,299"
Pune,2016,Maruti,Alto K10 VXI AMT,,"13,851 km",Petrol,1st Owner,"₹3,38,499"
Pune,2017,Honda,Jazz 1.2 V MT,Manual,"14,727 km",Petrol,1st Owner,"₹5,61,399"
Pune,2013,Maruti,Alto 800 LXI,Manual,"23,526 km",Petrol,1st Owner,"₹2,38,899"
